category,name,nameEN,description,descriptionEN,hours,manager,website,email,phone,fax,weeklyClosing,services,ticketCost,ticketEmail,ticketPhone,ticketHours,ticketReductions,addressStreet,addressLocation,addressCap,addressMunicipalities,addressProvince,addressRegion,addressText,latitude,longitude,photo,accessibility,visibleCopy,sponsor,hidden,unreachable
church,Chiesa dei SS. Pietro e Paolo,,"La chiesa dei Santi Pietro e Paolo è collocata nei pressi del monastero omonimo nel centro di Ospedaletto Lodigiano, comune sorto, fin dal XII secolo, in funzione dei pellegrini che percorrevano le vie Romea e Regina. La chiesa attuale venne edificata tra il 1455 e il 1470, anno in cui ricevette la prima consacrazione dal vescovo di Cremona Giovan Stefano Bottigella. La costruzione della chiesa fu resa possibile dalla donazione effettuata ai gerolamini, religiosi afferenti all'ordine istituito nel secolo XIV in Spagna con finalità contemplativa e missionaria, da parte dei conti Balbi, che volevano dotare il comune di una parrocchiale con il relativo campanile.Considerata uno dei monumenti più rilevanti del territorio provinciale, al suo interno cela preziose opere d'arte, tra le quali degno di nota è il trittico, ora frazionato in tavole distinte, attribuito al Giampietrino, allievo di Leonardo da Vinci attivo in Lombardia tra XV e XVI secolo.",,,,,,,,,,,,,,,,,26864,Ospedaletto Lodigiano,LO,,Piazza Roma 26864 LO,45.16459596103206,9.583432520196746,http://www.bellalombardia.regione.lombardia.it/LBL/preview/A-LO620-00046-IMG-0000188809.jpg,,SIRBEC,,,
art,Statuetta fittile di vignaiolo,,"Il raffinato manufatto fittile rappresenta una scena di vita quotidiana: un vignaiolo a figura intera reso realisticamente con abbigliamento roncola in una mano e un grappolo d'uva nell'altra. Rinvenuto nel 1978, proviene da una tomba della necropoli di Gropello Cairoli in località Marone, area che ha restituito numerose testimonianze. In Lomellina nei corredi funebri di tombe di età romana, accanto a manufatti d'uso corrente si rinvengono varie tipologie di statuette: generalmente personaggi di genere a figura intera, raro il busto, intenti nelle occupazioni quotidiane o figure divine o mitologiche o animali. Non è sempre chiaro il significato di tali manufatti all'interno della tomba, sicuramente costituivano per il defunto un legame simbolico con il mondo terreno in riferimento alla vita quotidiana o ai culti praticati. Le terrecotte figurate realizzata a stampo, da matrice bivalve, con ritocchi a stecca, sono peculiari della Lomellina, con limitata diffusione in Piemonte, nel Verbano e nel Canton Ticino. Il ristretto ambito di diffusione fa presumere l'esistenza di centri di produzione locale, attivi tra l'età augustea e la metà del I sec. d.C.",,,,,,,,,,,,,,,,,27029,Vigevano,PV,,"Castello Visconteo Sforzesco, Piazza Ducale 20; Corso della Repubblica 27029 PV",,,http://www.bellalombardia.regione.lombardia.it/LBL/medium/RA-PV300-00006-IMG-0000091411.jpg,,SIRBEC,,,
art,Collezione del Museo Archeologico San Lorenzo,,"La collezione del Museo Archeologico San Lorenzo è composta da una ricchissima varietà di materiali provenienti in massima parte dalla città di Cremona e risalenti all'età romana. Il primo nucleo comincia a formarsi già nell'Ottocento, grazie a scavi o ritrovamenti casuali. Prima dell'apertura del Museo, la collezione era ospitata al piano terreno del Museo Civico ""Ala Ponzone"", allestito nella prestigiosa sede di palazzo Affaitati. Nel 1993, i locali, i cui muri sono intaccati da una grave umidità, vengono sgomberati per una ristrutturazione che dovrebbe essere a breve termine. Ma un progetto più ambizioso ha già preso piede: recuperare la splendida basilica romanica di San Lorenzo, che versa in condizioni di grave degrado, e costituire un museo archeologico interamente dedicato alla città. Il progetto sarà portato a compimento nel 2009. Nel nuovo museo, accanto ai reperti di più antica acquisizione, vengono esposti per la prima volta anche i materiali emersi dagli scavi di piazza Marconi, che arricchiscono il patrimonio della collezione con una quantità eccezionale di reperti unici e preziosi.",,,,,,,,,,,,,,,,,26100,Cremona,CR,,"Via S. Lorenzo, 4 26100 CR",,,http://www.bellalombardia.regione.lombardia.it/LBL/medium/COL-COL-CR210-0000002-IMG-0000001927.jpg,,SIRBEC,,,
buildings,Ponte di Paderno,,"Il Ponte San Michele è un viadotto metallico a traffico misto ferroviario-stradale che collega i paesi di Paderno D'Adda e Calusco. Fu realizzato tra il 1887 e il 1889 per superare, con una grande struttura reticolare, il profondo avvallamento dell'Adda su una luce libera di 150 metri. L'eleganza delle proporzioni, l'accuratezza del progetto e la perfezione costruttiva lo rendono l'espressione più matura del progresso raggiunto, sul finire del XIX secolo, dall'industria siderurgica e dall'ingegneria civile italiana al servizio delle ferrovie. A tutt'oggi esso rappresenta un nodo cruciale per l'attraversamento dell'Adda, anche se gran parte del traffico pesante viene dirottato sui più capienti ponti di Trezzo sull'Adda e di Brivio.",,,,,,,,,,,,,,,,,23877,Paderno d'Adda,LC,,Via Tommaso Edison 23877 LC,45.682118761308686,9.45204482253685,http://www.bellalombardia.regione.lombardia.it/LBL/preview/A-LC120-00334-IMG-0000194803.jpg,,SIRBEC,,,
art,La Dogana,,"Intorno al 1824 Friedrich Lose elaborò per l'editore milanese Francesco Bernucca il volume ""Viaggio pittorico e storico al Monte Spluga"", il museo di Campodolcino espone la rara e raffinata serie di stampe che componeva l'album. Le 16 tavole presentano vedute dell'itinerario della via dello Spluga, lungo la strada carrozzabile voluta dal governo austriaco inaugurata nel 1822. Il ""viaggio pittorico"" o ""viaggio pittoresco"" era un tipo di pubblicazione molto diffuso nella prima metà dell'Ottocento, a metà strada tra la guida turistica e il libro d'arte. I volumi erano costituiti da numerose tavole incise accompagnate da un commento descrittivo, le immagini illustravano vedute e panorami del percorso.",,,,,,,,,,,,,,,,,23021,Campodolcino,SO,,"Piazza S. Antonio, 15 23021 SO",,,http://www.bellalombardia.regione.lombardia.it/LBL/medium/S-SO100-00007-IMG-0000152047.jpg,,SIRBEC,,,
buildings,Castello Sommi Picenardi Cassano,,"La grandiosa Villa Sommi Picenardi, originata dalla trasformazione nel settecento di un antico castello di cui rimangono alcuni resti, rappresenta uno dei più interessanti esempi di residenza castellata del cremonese. I fabbricati, disposti simmetricamente attorno ad un'ampia corte rettangolare, e separati dalla strada da un profondo fossato, mostrano una grande varietà di stili che richiamano l'architettura fortificata. Dietro la villa si estende il vasto parco, uno dei primi giardini all'inglese realizzati in Italia, valorizzato da colline, laghetti, padiglioni e finte rovine, dove si conservano pregiate essenze arboree.",,,,,,,,,,,,,,,,,26038,Torre de' Picenardi,CR,,Via Garibaldi 26038 CR,45.14500433598613,10.287867966686752,http://www.bellalombardia.regione.lombardia.it/LBL/preview/A-1A060-00403-IMG-0000191959.jpg,,SIRBEC,,,
art,L'urto,,"L'opera pittorica, realizzata da Emilio Vedova nel 1950, è caratterizzata da forme geometriche (triangoli, rettangoli, semicerchi, poligoni irregolari) e da una cromia fredda e piatta (grigio, nero, bianco). Questa è ascrivibile all'Astrattismo ed al Concretismo italiano, che riscosse un buon successo di critica e di pubblico in tutta Europa. In particolare quest'opera afferisce ed è rappresentativa della serie denominata delle ""Geometrie nere"", realizzata tra il 1946 e il 1950. Il dipinto, infatti, tratta il tema della violenza, evidente richiamo alla drammaticità del periodo bellico appena concluso. Grazie alla costruzione astratta di figure disposte in modo vorticoso intorno ad assi obliqui, il tema della Grande Guerra diviene ancor più vorticosamente e astrattamente raccontato. L'opera acquista, dunque, una forte valenza di denuncia politica dal forte impatto sociale. Il dipinto dimostra il forte impegno contro la guerra e la dittatura profuso da Vedova che, insieme ad altri numerosi artisti italiani, aveva combattuto per la liberazione della patria successivamente riunendosi sotto il nome di Fronte Nuovo delle Arti. Fu questo un impegno costante per Vedova che certamente costituisce un maestro indiscusso della pittura informale europea.",,,,,,,,,,,,,,,,,21013,Gallarate,VA,,"Via De Magri, 1 21013 VA",,,http://www.bellalombardia.regione.lombardia.it/LBL/medium/OA-A0020-00018-IMG-0000479358.jpg,,SIRBEC,,,
art,Le Muse,,"Nel 1997 nel corso di lavori di restauro al castello viene scoperto un ciclo affrescato di notevole qualità attribuito a Bartolomeo Suardi detto il Bramantino, uno dei pittori più raffinati del XVI secolo. Gli affreschi frammentari raffigurano le nove Muse, delle quali solo due quasi totalmente integre: Erato, musa della lirica amorosa, con compasso nella mano destra, uno strumento musicale a corde nella sinistra e ai piedi tavole con figure geometriche; Urania, musa dell'astronomia, con ghirlanda di stelle sul capo, volge lo sguardo al cielo che indica la mano destra, mentre nella sinistra tiene la sfera armillare. Le Muse, sedute in trono, sono inserite a circa due metri d'altezza in un colto impianto architettonico trompe l'oeil con suggestive inquadrature, il nome iscritto sopra il capo e, dove sopravvive, un verso celebrativo sulla trabeazione. Difficile l'identificazione del committente, forse il conte di Ligny cui fu affidato il feudo di Voghera tra il 1499 e il 1503, alla caduta del ducato sforzesco e che ebbe documentati rapporti di committenza artistica con Bramantino,",,,,,,,,,,,,,,,,,27058,Voghera,PV,,Piazza Castello 27058 PV,,,http://www.bellalombardia.regione.lombardia.it/LBL/medium/OA-PV300-00025-IMG-0000476610.jpg,,SIRBEC,,,
art,Eracle e figure di divinità,,"L'altare dipinto è una delle rarissime testimonianze di pittura romana di Milano, consistenti per lo più in piccoli frammenti parietali di dimore private. In muratura ricoperta di intonaco dipinto, esso fu rinvenuto in via Circo nel 1925, rappresenta un raro esemplare databile tra la fine del I sec. d.C e gli inizi del II sec. d.C. Sulle pareti intonacate dell'ara parallelepipeda si stagliano le quattro figure incorniciate da larghe fasce rosse ed ornate da festoni vegetali in corrispondenza degli angoli superiori. Sui lati corti sono rappresentate la dea Fortuna/Abundantia e una Vittoria Alata, sui lati lunghi figurano Cerere/Terra, raffigurata semidistesa, ed Ercole. Esso era verosimilmente adibito a uso privato, come suggeriscono i soggetti rappresentati che sono tipici dei larari, tempietti collocati nelle abitazioni private, e vanno interpretati come messaggio di buon augurio, secondo un linguaggio simbolico molto diffuso a partire dall'età augustea (27 a.C.-14 d.C.). Le immagini delle tre dee sono particolarmente riprodotte sulle effigi monetali, mentre Ercole è uno degli dei più popolari del mondo romano, spesso onorato nei larari familiari. La buona qualità della pittura, così come la scelta di soggetti colti, rispecchia la raffinatezza e la cultura del committente del monumento, forse il proprietario di una delle ricche abitazioni che caratterizzano, tra il I e il III secolo d.C., il quartiere occidentale della città antica. L'altare potrebbe aver fatto parte dell'arredo di una ""domus"", ma, considerate le dimensioni, è anche possibile che fosse collocato nella sede di un ""collegium"" o corporazione di artigiani o commercianti.",,,,,,,,,,,,,,,,,20123,Milano,MI,,"Corso Magenta, 15 20123 MI",,,http://www.bellalombardia.regione.lombardia.it/LBL/medium/RA-G0380-00029-IMG-0000095414.jpg,,SIRBEC,,,
art,"San Cristoforo guada il fiume con Gesù Bambino sulle spalle, Sant'Antonio Abate",,"Nel pieno centro storico di Castiglione Olona, a poca distanza di Palazzo Branda, si ergono due veri ""colossi"", come vennero definiti nelle cronache dell'epoca, realizzati con la tecnica scultorea dell'altorilievo. Le due gigantesche figure, poste ai lati del portale d'ingresso della cappella, raffigurano i Santi Antonio abate e Cristoforo e furono realizzate in pietra arenaria da anonimi artisti lombardi, poi chiamati dalla critica ""Maestri caronesi"". Tra gli scultori eletti dal cardinale Branda Castiglioni per condurre il suo progetto di rinnovamento culturale del borgo castiglionese, essi seppero coniugare il repertorio decorativo nord-italico con i nuovi modelli di classicità e monumentalità, importati dal cardinale attraverso l'arrivo nel borgo di artisti e maestranze toscane.",,,,,,,,,,,,,,,,,,Castiglione Olona,VA,,Piazza Garibaldi  VA,,,http://www.bellalombardia.regione.lombardia.it/LBL/medium/OA-3o210-01324-IMG-0000479110.jpg,,SIRBEC,,,
