category,name,nameEN,description,descriptionEN,hours,manager,website,email,phone,fax,weeklyClosing,services,ticketCost,ticketEmail,ticketPhone,ticketHours,ticketReductions,addressStreet,addressLocation,addressCap,addressMunicipalities,addressProvince,addressRegion,addressText,latitude,longitude,photo,accessibility,visibleCopy,sponsor,hidden,unreachable
art,Statuetta fittile di vignaiolo,,"Il raffinato manufatto fittile rappresenta una scena di vita quotidiana: un vignaiolo a figura intera reso realisticamente con abbigliamento roncola in una mano e un grappolo d'uva nell'altra. Rinvenuto nel 1978, proviene da una tomba della necropoli di Gropello Cairoli in località Marone, area che ha restituito numerose testimonianze. In Lomellina nei corredi funebri di tombe di età romana, accanto a manufatti d'uso corrente si rinvengono varie tipologie di statuette: generalmente personaggi di genere a figura intera, raro il busto, intenti nelle occupazioni quotidiane o figure divine o mitologiche o animali. Non è sempre chiaro il significato di tali manufatti all'interno della tomba, sicuramente costituivano per il defunto un legame simbolico con il mondo terreno in riferimento alla vita quotidiana o ai culti praticati. Le terrecotte figurate realizzata a stampo, da matrice bivalve, con ritocchi a stecca, sono peculiari della Lomellina, con limitata diffusione in Piemonte, nel Verbano e nel Canton Ticino. Il ristretto ambito di diffusione fa presumere l'esistenza di centri di produzione locale, attivi tra l'età augustea e la metà del I sec. d.C.",,,,,,,,,,,,,,,,,27029,Vigevano,PV,,"Castello Visconteo Sforzesco, Piazza Ducale 20; Corso della Repubblica 27029 PV",,,http://www.bellalombardia.regione.lombardia.it/LBL/medium/RA-PV300-00006-IMG-0000091411.jpg,,SIRBEC,,,
art,Collezione del Museo Archeologico San Lorenzo,,"La collezione del Museo Archeologico San Lorenzo è composta da una ricchissima varietà di materiali provenienti in massima parte dalla città di Cremona e risalenti all'età romana. Il primo nucleo comincia a formarsi già nell'Ottocento, grazie a scavi o ritrovamenti casuali. Prima dell'apertura del Museo, la collezione era ospitata al piano terreno del Museo Civico ""Ala Ponzone"", allestito nella prestigiosa sede di palazzo Affaitati. Nel 1993, i locali, i cui muri sono intaccati da una grave umidità, vengono sgomberati per una ristrutturazione che dovrebbe essere a breve termine. Ma un progetto più ambizioso ha già preso piede: recuperare la splendida basilica romanica di San Lorenzo, che versa in condizioni di grave degrado, e costituire un museo archeologico interamente dedicato alla città. Il progetto sarà portato a compimento nel 2009. Nel nuovo museo, accanto ai reperti di più antica acquisizione, vengono esposti per la prima volta anche i materiali emersi dagli scavi di piazza Marconi, che arricchiscono il patrimonio della collezione con una quantità eccezionale di reperti unici e preziosi.",,,,,,,,,,,,,,,,,26100,Cremona,CR,,"Via S. Lorenzo, 4 26100 CR",,,http://www.bellalombardia.regione.lombardia.it/LBL/medium/COL-COL-CR210-0000002-IMG-0000001927.jpg,,SIRBEC,,,
art,La Dogana,,"Intorno al 1824 Friedrich Lose elaborò per l'editore milanese Francesco Bernucca il volume ""Viaggio pittorico e storico al Monte Spluga"", il museo di Campodolcino espone la rara e raffinata serie di stampe che componeva l'album. Le 16 tavole presentano vedute dell'itinerario della via dello Spluga, lungo la strada carrozzabile voluta dal governo austriaco inaugurata nel 1822. Il ""viaggio pittorico"" o ""viaggio pittoresco"" era un tipo di pubblicazione molto diffuso nella prima metà dell'Ottocento, a metà strada tra la guida turistica e il libro d'arte. I volumi erano costituiti da numerose tavole incise accompagnate da un commento descrittivo, le immagini illustravano vedute e panorami del percorso.",,,,,,,,,,,,,,,,,23021,Campodolcino,SO,,"Piazza S. Antonio, 15 23021 SO",,,http://www.bellalombardia.regione.lombardia.it/LBL/medium/S-SO100-00007-IMG-0000152047.jpg,,SIRBEC,,,
art,,,"Questo splendido tappeto presenta il tradizionale impianto a medaglione con quattro motivi angolari posti su un campo a fondo blu scuro. Il medaglione ha sedici punte con pendenti, è a fondo rosso con una complessa decorazione a uccelli e fasce di nubi, un motivo curvilineo di origine cinese, collegati da una fitta grata fiorita. Al centro del medaglione si trova una iscrizione: ""Per le fatiche di Ghyas el Din Jami quest'opera rinomata fu condotta a sì splendido compimento nell'anno 949"". Il 949, Anno dell'Egira, corrisponde al 1542-1543 d.C.. Nel campo blu sono raffigurate varie scene di caccia, uomini a cavallo con l'arco, animali selvatici e fantastici, uccelli. Si tratta della rappresentazione simbolica del giardino dell'Eden: gli animali in lotta rappresentano l'eterno combattimento tra vizio e virtù, i principi a caccia alludono invece alla ricerca di un'elevazione spirituale. Il tappeto è costituito da vari frammenti ricomposti e le parti mancanti sono state tessute a punto arazzo. Un frammento della bordura è stato recentemente donato da un generoso collezionista, Alessandro Bruschettini, e, dopo il restauro, è tornato a far parte del tappeto.",,,,,,,,,,,,,,,,,20121,Milano,MI,,"Via Manzoni, 12 20121 MI",,,http://www.bellalombardia.regione.lombardia.it/LBL/medium/OA-RL480-00045-IMG-0000477436.jpg,,SIRBEC,,,
art,L'urto,,"L'opera pittorica, realizzata da Emilio Vedova nel 1950, è caratterizzata da forme geometriche (triangoli, rettangoli, semicerchi, poligoni irregolari) e da una cromia fredda e piatta (grigio, nero, bianco). Questa è ascrivibile all'Astrattismo ed al Concretismo italiano, che riscosse un buon successo di critica e di pubblico in tutta Europa. In particolare quest'opera afferisce ed è rappresentativa della serie denominata delle ""Geometrie nere"", realizzata tra il 1946 e il 1950. Il dipinto, infatti, tratta il tema della violenza, evidente richiamo alla drammaticità del periodo bellico appena concluso. Grazie alla costruzione astratta di figure disposte in modo vorticoso intorno ad assi obliqui, il tema della Grande Guerra diviene ancor più vorticosamente e astrattamente raccontato. L'opera acquista, dunque, una forte valenza di denuncia politica dal forte impatto sociale. Il dipinto dimostra il forte impegno contro la guerra e la dittatura profuso da Vedova che, insieme ad altri numerosi artisti italiani, aveva combattuto per la liberazione della patria successivamente riunendosi sotto il nome di Fronte Nuovo delle Arti. Fu questo un impegno costante per Vedova che certamente costituisce un maestro indiscusso della pittura informale europea.",,,,,,,,,,,,,,,,,21013,Gallarate,VA,,"Via De Magri, 1 21013 VA",,,http://www.bellalombardia.regione.lombardia.it/LBL/medium/OA-A0020-00018-IMG-0000479358.jpg,,SIRBEC,,,
art,Le Muse,,"Nel 1997 nel corso di lavori di restauro al castello viene scoperto un ciclo affrescato di notevole qualità attribuito a Bartolomeo Suardi detto il Bramantino, uno dei pittori più raffinati del XVI secolo. Gli affreschi frammentari raffigurano le nove Muse, delle quali solo due quasi totalmente integre: Erato, musa della lirica amorosa, con compasso nella mano destra, uno strumento musicale a corde nella sinistra e ai piedi tavole con figure geometriche; Urania, musa dell'astronomia, con ghirlanda di stelle sul capo, volge lo sguardo al cielo che indica la mano destra, mentre nella sinistra tiene la sfera armillare. Le Muse, sedute in trono, sono inserite a circa due metri d'altezza in un colto impianto architettonico trompe l'oeil con suggestive inquadrature, il nome iscritto sopra il capo e, dove sopravvive, un verso celebrativo sulla trabeazione. Difficile l'identificazione del committente, forse il conte di Ligny cui fu affidato il feudo di Voghera tra il 1499 e il 1503, alla caduta del ducato sforzesco e che ebbe documentati rapporti di committenza artistica con Bramantino,",,,,,,,,,,,,,,,,,27058,Voghera,PV,,Piazza Castello 27058 PV,,,http://www.bellalombardia.regione.lombardia.it/LBL/medium/OA-PV300-00025-IMG-0000476610.jpg,,SIRBEC,,,
art,Eracle e figure di divinità,,"L'altare dipinto è una delle rarissime testimonianze di pittura romana di Milano, consistenti per lo più in piccoli frammenti parietali di dimore private. In muratura ricoperta di intonaco dipinto, esso fu rinvenuto in via Circo nel 1925, rappresenta un raro esemplare databile tra la fine del I sec. d.C e gli inizi del II sec. d.C. Sulle pareti intonacate dell'ara parallelepipeda si stagliano le quattro figure incorniciate da larghe fasce rosse ed ornate da festoni vegetali in corrispondenza degli angoli superiori. Sui lati corti sono rappresentate la dea Fortuna/Abundantia e una Vittoria Alata, sui lati lunghi figurano Cerere/Terra, raffigurata semidistesa, ed Ercole. Esso era verosimilmente adibito a uso privato, come suggeriscono i soggetti rappresentati che sono tipici dei larari, tempietti collocati nelle abitazioni private, e vanno interpretati come messaggio di buon augurio, secondo un linguaggio simbolico molto diffuso a partire dall'età augustea (27 a.C.-14 d.C.). Le immagini delle tre dee sono particolarmente riprodotte sulle effigi monetali, mentre Ercole è uno degli dei più popolari del mondo romano, spesso onorato nei larari familiari. La buona qualità della pittura, così come la scelta di soggetti colti, rispecchia la raffinatezza e la cultura del committente del monumento, forse il proprietario di una delle ricche abitazioni che caratterizzano, tra il I e il III secolo d.C., il quartiere occidentale della città antica. L'altare potrebbe aver fatto parte dell'arredo di una ""domus"", ma, considerate le dimensioni, è anche possibile che fosse collocato nella sede di un ""collegium"" o corporazione di artigiani o commercianti.",,,,,,,,,,,,,,,,,20123,Milano,MI,,"Corso Magenta, 15 20123 MI",,,http://www.bellalombardia.regione.lombardia.it/LBL/medium/RA-G0380-00029-IMG-0000095414.jpg,,SIRBEC,,,
art,,,"Alle 8.30 del 24 maggio 2005, Angelo D'Arrigo sorvola per la prima volta l'Everest con questo deltaplano ad ala rigida. È il nuovo record di quota nella categoria volo a vela. Prodotto dalla società italiana Icaro 2000, è dotato di telaio in fibra di carbonio, velatura in fibra di poliestere e componentistica in ergal, lega in alluminio-zinco, per un peso di soli 34 chili.",,,,,,,,,,,,,,,,,20123,Milano,MI,,"Via San Vittore, 21 20123 MI",,,http://www.bellalombardia.regione.lombardia.it/LBL/medium/PST-ST120-00366-IMG-0000043833.jpg,,SIRBEC,,,
art,"San Cristoforo guada il fiume con Gesù Bambino sulle spalle, Sant'Antonio Abate",,"Nel pieno centro storico di Castiglione Olona, a poca distanza di Palazzo Branda, si ergono due veri ""colossi"", come vennero definiti nelle cronache dell'epoca, realizzati con la tecnica scultorea dell'altorilievo. Le due gigantesche figure, poste ai lati del portale d'ingresso della cappella, raffigurano i Santi Antonio abate e Cristoforo e furono realizzate in pietra arenaria da anonimi artisti lombardi, poi chiamati dalla critica ""Maestri caronesi"". Tra gli scultori eletti dal cardinale Branda Castiglioni per condurre il suo progetto di rinnovamento culturale del borgo castiglionese, essi seppero coniugare il repertorio decorativo nord-italico con i nuovi modelli di classicità e monumentalità, importati dal cardinale attraverso l'arrivo nel borgo di artisti e maestranze toscane.",,,,,,,,,,,,,,,,,,Castiglione Olona,VA,,Piazza Garibaldi  VA,,,http://www.bellalombardia.regione.lombardia.it/LBL/medium/OA-3o210-01324-IMG-0000479110.jpg,,SIRBEC,,,
art,,,"Le due lampade ad arco conservate entro una bacheca furono prodotte dalla ditta Siemens & Halske di Berlino nel 1892 quella posta in verticale, dalla Siemens - Schukertwerke G.m.b.H. nel 1903 la grande sfera in vetro. Il primo manufatto proviene dalla Collezione Enel S.p.A. che nel 1999 lo cede al museo pavese con un contratto di comodato, mentre il secondo viene donato nel 2007 dalla Siemens (Collezione dell'Università di Pavia). Ciascuna delle due lampade costituisce un pezzo di eccezionale importanza in quanto rappresenta ciò che precede la lampadina. La lampada ad arco è un dispositivo di illuminazione basato sull'emissione luminosa di un arco voltaico. Si può considerare una particolare forma della lampada a scarica in aria atmosferica, dove in questo caso avviene una vera e propria scarica elettrica. Il primo esperimento di illuminazione elettrica pubblica, giudicato all'epoca un evento eccezionale, avviene nel 1877 in piazza Duomo a Milano, in realtà la tecnologia della lampada ad arco è sperimentata già dal 1853. Milano è quindi la prima città in Europa a disporre di un servizio di illuminazione elettrica regolarmente organizzato.",,,,,,,,,,,,,,,,,27100,Pavia,PV,,"Via Ferrata, 3 27100 PV",,,http://www.bellalombardia.regione.lombardia.it/LBL/medium/PST-PV300-00005-IMG-0000043713.jpg,,SIRBEC,,,
