category,name,nameEN,description,descriptionEN,hours,manager,website,email,phone,fax,weeklyClosing,services,ticketCost,ticketEmail,ticketPhone,ticketHours,ticketReductions,addressStreet,addressLocation,addressCap,addressMunicipalities,addressProvince,addressRegion,addressText,latitude,longitude,photo,accessibility,visibleCopy,sponsor,hidden,unreachable
church,Chiesa dei SS. Pietro e Paolo,,"La chiesa dei Santi Pietro e Paolo è collocata nei pressi del monastero omonimo nel centro di Ospedaletto Lodigiano, comune sorto, fin dal XII secolo, in funzione dei pellegrini che percorrevano le vie Romea e Regina. La chiesa attuale venne edificata tra il 1455 e il 1470, anno in cui ricevette la prima consacrazione dal vescovo di Cremona Giovan Stefano Bottigella. La costruzione della chiesa fu resa possibile dalla donazione effettuata ai gerolamini, religiosi afferenti all'ordine istituito nel secolo XIV in Spagna con finalità contemplativa e missionaria, da parte dei conti Balbi, che volevano dotare il comune di una parrocchiale con il relativo campanile.Considerata uno dei monumenti più rilevanti del territorio provinciale, al suo interno cela preziose opere d'arte, tra le quali degno di nota è il trittico, ora frazionato in tavole distinte, attribuito al Giampietrino, allievo di Leonardo da Vinci attivo in Lombardia tra XV e XVI secolo.",,,,,,,,,,,,,,,Piazza Roma,,26864,Ospedaletto Lodigiano,LO,,Piazza Roma 26864 Ospedaletto Lodigiano LO ,,,,,SIRBEC,,,
art,Collezione del Museo Archeologico San Lorenzo,,"La collezione del Museo Archeologico San Lorenzo è composta da una ricchissima varietà di materiali provenienti in massima parte dalla città di Cremona e risalenti all'età romana. Il primo nucleo comincia a formarsi già nell'Ottocento, grazie a scavi o ritrovamenti casuali. Prima dell'apertura del Museo, la collezione era ospitata al piano terreno del Museo Civico ""Ala Ponzone"", allestito nella prestigiosa sede di palazzo Affaitati. Nel 1993, i locali, i cui muri sono intaccati da una grave umidità, vengono sgomberati per una ristrutturazione che dovrebbe essere a breve termine. Ma un progetto più ambizioso ha già preso piede: recuperare la splendida basilica romanica di San Lorenzo, che versa in condizioni di grave degrado, e costituire un museo archeologico interamente dedicato alla città. Il progetto sarà portato a compimento nel 2009. Nel nuovo museo, accanto ai reperti di più antica acquisizione, vengono esposti per la prima volta anche i materiali emersi dagli scavi di piazza Marconi, che arricchiscono il patrimonio della collezione con una quantità eccezionale di reperti unici e preziosi.",,,,,,,,,,,,,,,"Via S. Lorenzo, 4",,26100,Cremona,CR,,"Via S. Lorenzo, 4 26100 Cremona CR ",,,,,SIRBEC,,,
buildings,Ponte di Paderno,,"Il Ponte San Michele è un viadotto metallico a traffico misto ferroviario-stradale che collega i paesi di Paderno D'Adda e Calusco. Fu realizzato tra il 1887 e il 1889 per superare, con una grande struttura reticolare, il profondo avvallamento dell'Adda su una luce libera di 150 metri. L'eleganza delle proporzioni, l'accuratezza del progetto e la perfezione costruttiva lo rendono l'espressione più matura del progresso raggiunto, sul finire del XIX secolo, dall'industria siderurgica e dall'ingegneria civile italiana al servizio delle ferrovie. A tutt'oggi esso rappresenta un nodo cruciale per l'attraversamento dell'Adda, anche se gran parte del traffico pesante viene dirottato sui più capienti ponti di Trezzo sull'Adda e di Brivio.",,,,,,,,,,,,,,,Via Tommaso Edison,,23877,Paderno d'Adda,LC,,Via Tommaso Edison 23877 Paderno d'Adda LC ,,,,,SIRBEC,,,
buildings,Castello Sommi Picenardi Cassano,,"La grandiosa Villa Sommi Picenardi, originata dalla trasformazione nel settecento di un antico castello di cui rimangono alcuni resti, rappresenta uno dei più interessanti esempi di residenza castellata del cremonese. I fabbricati, disposti simmetricamente attorno ad un'ampia corte rettangolare, e separati dalla strada da un profondo fossato, mostrano una grande varietà di stili che richiamano l'architettura fortificata. Dietro la villa si estende il vasto parco, uno dei primi giardini all'inglese realizzati in Italia, valorizzato da colline, laghetti, padiglioni e finte rovine, dove si conservano pregiate essenze arboree.",,,,,,,,,,,,,,,Via Garibaldi,,26038,Torre de' Picenardi,CR,,Via Garibaldi 26038 Torre de' Picenardi CR ,,,,,SIRBEC,,,
buildings,Castello Oldofredi,,"La Rocca Oldofredi viene costruita nel XIV secolo per il controllo della zona sud-est del lago d'Iseo. Si trova a Monte Isola in località Sensole, isolata e ben individuabile dalle due sponde del lago. Nel XV secolo passa ai Martinengo che la trasformano in residenza. Diventa di proprietà Salvadego ne XIX secolo e poi passa alla famiglia Mascheroni. Nella seconda metà del XX secolo è stata restaurata sempre ad uso residenziale. Si imposta su una pianta quadrangolare con due torri semicircolari negli angoli nord-ovest e nord-est, mentre nella parte centrale si innalza una torre cilindrica. Nel lato occidentale si trova l'accesso preceduto da un rivellino per la difesa del ponte levatoio.",,,,,,,,,,,,,,,,,,Monte Isola,BS,,  Monte Isola BS ,,,,,SIRBEC,,,
history,Centro storico,,"L'ampio conoide sul quale si sono sviluppati Chiuro e la vicina Ponte - centri che forse fino al XIII secolo formavano un unico comune - ha da sempre attirato l'attenzione dell'uomo per la felice posizione geografica. È proprio verso la fine del 1200 che il borgo di Chiuro origina la sua autonomia, grazie anche all'affermarsi del più importante dei suoi casati nobiliari, quello dei Quadrio. Da questa famiglia, nella prima metà del Quattrocento, emerge la figura del condottiero Stefano, capo del partito ghibellino in Valtellina, dove fu protagonista dei maggiori avvenimenti politici, economici e sociali del tempo. Negli anni della sua signoria prosperarono i commerci di vini, cereali, ferro e stoffe, in linea con il progresso economico, civile e culturale che coinvolse tutta la valle,: tale benessere ebbe riscontro nello sviluppo urbanistico dell'abitato. La sua dimora fortificata, al centro del paese, appare come il punto di irradiamento per la costruzione di numerosi altri palazzi appartenenti a rami collaterali o famiglie legate ai Quadrio, specialmente lungo l'attuale via Rusca, l'antica ""Contrada Bella"". Invece l'antica e fiorente contrada di Gera, che si trovava nella parte est del paese, oggi non esiste più, decadde e scomparve lentamente a causa di ripetute alluvioni e un disastroso saccheggio nel 1487.Dal punto di vista dell'organizzazione ecclesiastica Chiuro in origine dipendeva dalla pieve di Tresivio, ma verso la fine del XV secolo si rese parrocchia autonoma.",,,,,,,,,,,,,,,,,23030,Chiuro,SO,, 23030 Chiuro SO ,,,,,SIRBEC,,,
history,Piazza Libertà,,"Piazza Libertà fu realizzata nel 1937 a seguito della demolizione di alcuni edifici urbani e, in particolare, della chiesa parrocchiale progettata da Simone Cantoni, noto per aver edificato Villa Olmo a Como e Palazzo Serbelloni a Milano. La formazione della piazza, denominata allora piazza Vittorio Emanuele, si qualifica come il più importante e significativo intervento di trasformazione urbanistica che ha segnato il centro urbano di Lissone. Il processo di realizzazione della piazza e di affermazione della sua funzione pubblica era tuttavia già cominciato con l'acquisizione di Villa Candiani Magatti con lo scopo di trasformarla in sede comunale e di demolirne un'ala anche per realizzare un nuovo edificio scolastico.Per dare compimento al progetto di sistemazione della piazza e di dotare Lissone di moderni edifici che attestassero anche la potenza del regime, gli amministratori decisero di indire un concorso per la costruzione della Casa del fascio, al quale parteciparono numerosi progettisti italiani. Il 29 novembre 1937 il Partito Nazionale Fascista approvò il preventivo di spesa e il piazzale diventò il luogo privilegiato per le adunanze politiche, le manifestazioni ""ludico-educative"" e, con la successiva trasformazione di Palazzo Pensa in un comando nazista, l'affermazione del potere tedesco-fascista.Nel 1999 l'amministrazione comunale decise di bandire un concorso di idee finalizzato alla riqualificazione urbana della piazza e alla realizzazione di un parcheggio sotterraneo a servizio della città e, soprattutto, dell'Auditorium presente all'interno di Palazzo Terragni. Al bando risposero 50 professionisti e gruppi di progettazione e il comune assegnò tre premi e una segnalazione, effettuando nel 2001 anche una mostra dei lavori presentati presso la Pinacoteca Municipale. Sul finire del 2004 fu affidato l'incarico a un professionista esterno che stilò il progetto definitivo conclusosi con l'inaugurazione della nuova piazza nell'aprile 2007. Oggi questo spazio urbano costituisce per la città un luogo privilegiato di incontro e in tal senso viene spesso usato per rappresentazioni culturali, sagre, mercatini, sfilate carnevalesche e concerti all'aperto.",,,,,,,,,,,,,,,,,20851,Lissone,MB,, 20851 Lissone MB ,,,,,SIRBEC,,,
history,Varese,,"Abitata fin dalla preistoria, Varese conserva tracce di quadratum romano nei borghi di Velate e Bizzozero, mentre il nucleo storico della città ha origine medievale, come sede di mercato. Divenne un borgo fortificato e feudo di numerose signorie, luogo di transito lungo importanti vie di comunicazione che collegavano Milano con la Svizzera. L'originaria struttura urbana comprendeva il borgo, con il centro civile e religioso, e sei castellanze, nuclei extra-urbani generalmente sorti sui colli. Dopo il periodo di decadenza sotto la dominazione spagnola, nel Seicento il Borgo di Varese subisce alcune trasformazioni per l'ampliamento di strade e la creazione di nuove piazze e la costruzione del Palazzo del Pretorio, mentre negli altri borghi e nelle castellanze vengono costruiti importanti palazzi per le famiglie più in vista. Carlo Borromeo, arcivescovo di Milano, avvia un'importante stagione di rinnovamento, dando nuovo vigore al monastero di Santa Maria del Monte, che avrebbe portato a una delle più importanti imprese artistiche della Lombardia, con la realizzazione, a partire dal 1604, del viale delle Cappelle, che da Sant'Ambrogio conduce al Santuario del Sacro Monte. Durante la successiva dominazione austriaca, Varese fu concessa in feudo personale a Francesco III d'Este Duca di Modena (1756-1780). Fu un periodo particolarmente prospero, anche dal punto di vista culturale, durante il quale prese l'avvio il periodo d'oro della villeggiatura varesina e si promosse la costruzione di nuovi conventi, l'ampliamento e la creazione di nuove strade e la costruzione dei portici in piazza Porcari. Con l'Unità nazionale inizia un importante sviluppo economico e sociale che, protrattosi fino alla Prima guerra mondiale, avrebbe portato all'insediamento di industrie cartiere, conciarie, calzaturiere, meccaniche e aeronautiche lungo l'Olona. L'antico borgo della città viene ampliato con la realizzazione di nuove strade rettilinee che formano ampi isolati soprattutto a oriente, verso le stazioni ferroviarie, e a occidente, mentre il nucleo storico viene riqualificato. Con la realizzazione delle prime linee tramviarie e della funicolareall'inizio del Novecento, sulle pendici del Campo dei Fiori furono costruite numerose ville in stile liberty, molte delle quali su progetto di Sommaruga, e lussuosi alberghi che accentuarono l'interesse per Varese che divenne meta privilegiata per il turismo internazionale, attratto dalle bellezze dei luoghi e dalla ricca e prestigiosa offerta alberghiera e favorito dalle accresciute possibilità di trasporto. Lo scoppio della Prima guerra mondiale spegne in parte questa intensa attività edilizia, che aveva interessato maggiormente i colli e le castellanze rispetto al centro urbano, la cui espansione era stata il frutto di un assemblaggio di alcune idee presentate nei numerosi piani che si erano susseguiti dopo il 1860. Nel 1927 Varese viene dichiarata capoluogo di Provincia, rendendosi così necessario dare alla città un volto adeguato al nuovo ruolo amministrativo. Vittorio Ballio Morpurgo viene incaricato di studiare un piano per la trasformazione della città, che porta a una radicale metamorfosi del centro cittadino: piazza Porcari e parte del nucleo tardo-medioevale vengono sventrati per far posto alla moderna piazza Monte Grappa (1929-1933), su progetto di Loreti, l'ultimo significativo episodio di progettazione urbanistica della città. Nello stesso periodo, con il primo boom demografico, si assiste alla saldatura fra i nuclei storici delle castellanze e il centro urbano, portando alla realizzazione di tessuti edilizi privi di riconoscibilità e particolarmente carenti in fatto di disegno urbano e qualità degli spazi pubblici. Al termine della Seconda guerra mondiale la città va progressivamente espandendosi in modo caotico, senza alcun interesse per il disegno urbano e la delicata morfologia dei luoghi.",,,,,,,,,,,,,,,,,21100,Varese,VA,, 21100 Varese VA ,,,,,SIRBEC,,,
buildings,Palazzo Ducale,,"Il Palazzo Ducale di Revere nasce dal mecenatismo di Ludovico II Gonzaga, lo stesso marchese che ha dato inizio alla trasformazione del capoluogo mantovano con l'avvio delle fabbriche albertiane ed il rinnovamento urbano delle piazze. E' uno splendido esempio di residenza dominicale del Quattrocento che mostra un riuscito dialogo tra il linguaggio medioevale castellano e i principi dell'architettura dell'Umanesimo portando in luoghi così lontani dai centri maggiori richiami architettonici che arrivano dalla Firenze dei Medici. L'architettura del palazzo sorprende per la maestosità delle proporzioni accostata alla delicatezza del cortile interno. L'opera arriva a noi ancora interamente leggibile nonostante le variazioni avvenute nei secoli. E' sede del Museo del Po.",,,,,,,,,,,,,,,"Piazza Castello, 12",,46036,Revere,MN,,"Piazza Castello, 12 46036 Revere MN ",,,,,SIRBEC,,,
church,Chiesa di S. Giorgio,,"La chiesa, situata su un'altura, in una felice posizione panoramica presso la riva del lago, è raggiungibile percorrendo una breve salita che si imbocca dalla provinciale. L'edificio custodisce, al suo interno, uno spettacolare ciclo di affreschi tardo-quattrocenteschi di soggetto escatologico. Tale decorazione riveste un notevole interesse iconografico, rivelando rapporti con alcuni cicli coevi di area ligure-piemontese.",,,,,,,,,,,,,,,"Via S. Giorgio, 8/c",,23826,Mandello del Lario,LC,,"Via S. Giorgio, 8/c 23826 Mandello del Lario LC ",,,,,SIRBEC,,,
